"短校名","新生註冊率"
"育達科大",36.67
"高苑科大",32.5
"聖約翰科大",31.43
"聖約翰科大",20
"和春技術學院",15
"和春技術學院",15
"大華科大",13.33
"中州科大",12.5
"大華科大",0
"中華醫事科大",0
